_id	market_id	market_type	market_name	address1	city	state	zip_code	latitude	longitude	phone	phone_ext	county
1486	21	Farm Stand	Beccari's Farm Market	5095 Thomas Run Road	Oakdale	PA	15071	40.3753878	-80.1353771	4122218768		Allegheny
1487	51	Farm Market	Carrick Citiparks Farmers Market	1529 Brownsville Road	Pittsburgh	PA	15210	40.3913414	-79.986603	4124226547		Allegheny
1488	90	Farm Market	East Liberty Farmers Market	N Euclid Ave & Broad St	Pittsburgh	PA	15026	40.4707688	-79.9228625			Allegheny
1489	92	Farm Stand	Eichner's Farm Market & Greenhouses	285 Richard Road	Wexford	PA	15090	40.608589	-80.061099	7249352131		Allegheny
1490	207	Farm Market	Monroeville FM	2399 Tillbrook Rd	Monroeville	PA	15146	40.4183624	-79.763612	7245388621		Allegheny
1491	227	Farm Market	Pgh Original Night Farmers Market	151 Park Road	McDonald	PA	15057	40.3712883	-80.2263223			Allegheny
1492	3910	Farm Market	New Dillner Family Farm Market	80 Oak Rd	Gibsonia	PA	15044	40.6229219	-79.900133	7244446594		Allegheny
1493	3932	Farm Market	Farmers Market at The Block	8013 McKnight Rd	Pittsburgh	PA	15237	40.551259	-80.0210399			Allegheny
1494	3938	Farm Market	Plum Market	Renton Road Mine	Plum	PA	15239	40.5065105	-79.7234442			Allegheny
1495	3940	Farm Stand	CCR Gardens	111 Marshall Dr	McKeesport	PA	15132	40.3339166	-79.8230182			Allegheny
1496	3977	Farm Market	Plum FM	2000 Old Mine Rd	Plum Borough	PA	15068	40.5085289	-79.7295836			Allegheny
1497	3817	Farm Stand	Kaelin Farms Market	2547 Brandt School Road	Wexford	PA	15090	40.606884	-80.0887179			Allegheny
1498	3819	Farm Stand	PA Libations	2103 Penn Ave	Pittsburgh	PA	15222	40.4519459	-79.983171			Allegheny
1499	3840	Farm Market	Hampton Farmers Market	3103 McCulley Rd	Allison Park	PA	15101	40.5817003	-79.9310915			Allegheny
1500	3846	Farm Market	East End Citiparks	100Larimer Ave	Pittsburgh	PA	15206	40.4619437	-79.9196037			Allegheny
1501	3852	Farm Market	Oakmont Farmers Market	600 Allegheny River Blvd	Oakmont	PA	15139	40.5191919	-79.8422439			Allegheny
1502	3872	Farm Market	Baldwin Borough Farmers Market	41 MACEK DRIVE	PITTSBURGH	PA	15227	40.35776	-79.963652			Allegheny
1503	3643	Farm Market	Devine Redeemer Church formerly St James	200 Walnut St	Sewickley	PA	15143	40.5375999	-80.184694			Allegheny
1504	3666	Farm Market	Lawrenceville Farmers Market	123 41st Street	Lawrenceville	PA	15201	40.471285	-79.96358	4128027220		Allegheny
1505	3671	Farm Stand	Renzie Market	Tulip Drive	McKeesport	PA	15132	40.3398434	-79.8289475			Allegheny
1506	3677	Farm Market	Carnegie Farmers Market	Mary & E Main Streets	Carnegie	PA	15106	40.4254803	-80.1408716			Allegheny
1507	3736	Farm Market	Wilkinsburg Farmers Market	739 Penn Ave	Wilkinsburg	PA	15221	40.443556	-79.883681			Allegheny
1508	3753	Farm Market	Hampton Farmers Market	3101 McCully Rd	Allison Park	PA	15101	40.582594	-79.934791			Allegheny
1509	3481	Farm Market	Holy Cross FM	123 Gilkeson Rd	Mt Lebanon	PA	15228	40.3554255	-80.0530258			Allegheny
1510	3482	Farm Market	The Block at Northway	8013 McKnight Rd	Pittsburgh	PA	15237	40.5516087	-80.0209421			Allegheny
1511	3509	Farm Stand	Homewood Farmers Market	517 Brushton Ave	PITTSBURGH	PA	15208	40.4504489	-79.8908929			Allegheny
1512	3514	Farm Stand	Decarlo's Market	560 MCKeesport Rd	Elizabeth	PA	15037	40.278307	-79.8755899			Allegheny
